transaction_id,customer_id,product_id,sale_date,quantity,total_amount
1,1,2001,2023-10-01,2,39.98
2,2,2003,2023-10-02,1,19.99
3,1,2002,2023-10-03,5,99.95
4,3,2001,2023-10-04,3,59.97
5,4,2003,2023-10-05,4,79.96
6,1,2004,2023-10-01,1,99.95
7,4,2003,2023-10-02,2,19.99
8,3,2005,2023-10-03,1,89.99
9,5,2003,2023-10-04,1,79.96
10,2,2001,2023-10-05,2,39.98
11,4,2006,2023-10-06,3,22.88
12,1,2007,2023-10-06,4,44.96
13,2,2008,2023-10-07,5,11.99
14,3,2001,2023-10-08,1,59.97
15,5,2009,2023-10-08,1,64.27
16,1,2010,2023-10-08,4,10.31
17,2,2003,2023-10-09,3,79.96
18,3,2009,2023-10-10,2,64.27
19,4,2001,2023-10-10,1,59.97
